team0,team1,team0_score,team1_score,ot,ot_time,team0_pl,team1_pl,game_num,player_num,time,region,team0_match_score,team1_match_score,team0_win,team1_win,goals_scored
Stormtroopers,Endpoint,2.0,1.0,False,0:00,"['Apparently_Jack', 'Dead-Monster']","['Metsanauris', 'RelatingWave']",2,2,"May 21, 2020 - 22:00 CEST",Europe,3,2,True,False,3.0
Stormtroopers,Endpoint,6.0,5.0,False,0:00,['Apparently_Jack'],['RelatingWave'],3,1,"May 21, 2020 - 22:00 CEST",Europe,3,2,True,False,11.0
Stormtroopers,Endpoint,1.0,2.0,True,0:24,"['Apparently_Jack', 'Dead-Monster', 'Polar']","['Metsanauris', 'RelatingWave', 'virtuoso']",4,3,"May 21, 2020 - 22:00 CEST",Europe,3,2,False,True,3.0
Stormtroopers,Endpoint,7.0,6.0,True,0:08,['Apparently_Jack'],['RelatingWave'],5,1,"May 21, 2020 - 22:00 CEST",Europe,3,2,True,False,13.0
Sandrock Gaming,Nameless,4.0,5.0,False,0:00,"['Ahmad', 'SENZO', 'oKhaliD']","['DmentZa', 'Oscillon', 'Rix_Ronday']",1,3,"May 21, 2020 - 23:00 CEST",Europe,3,1,False,True,9.0
Sandrock Gaming,Nameless,5.0,2.0,False,0:00,"['Ahmad', 'oKhaliD']","['DmentZa', 'Oscillon']",2,2,"May 21, 2020 - 23:00 CEST",Europe,3,1,True,False,7.0
Sandrock Gaming,Nameless,8.0,7.0,True,0:28,['oKhaliD'],['DmentZa'],3,1,"May 21, 2020 - 23:00 CEST",Europe,3,1,True,False,15.0
Sandrock Gaming,Nameless,3.0,2.0,False,0:00,"['Ahmad', 'SENZO', 'oKhaliD']","['DmentZa', 'Oscillon', 'Rix_Ronday']",4,3,"May 21, 2020 - 23:00 CEST",Europe,3,1,True,False,5.0
5Head,Almans,2.0,5.0,False,0:00,"['M7sN', 'ams', 'bo0odi44']","['FreaKii', 'Godsmilla', 'Striker']",1,3,"May 21, 2020 - 20:00 CEST",Europe,0,3,False,True,7.0
5Head,Almans,2.0,5.0,False,0:00,"['M7sN', 'ams']","['FreaKii', 'Striker']",2,2,"May 21, 2020 - 20:00 CEST",Europe,0,3,False,True,7.0
5Head,Almans,4.0,11.0,False,0:00,['ams'],['Striker'],3,1,"May 21, 2020 - 20:00 CEST",Europe,0,3,False,True,15.0
Servette Geneva Esports,Womped,3.0,2.0,False,0:00,"['Justuszzz', 'Mirror.', 'Zaphare']","['Barist', 'Rise', 'cal']",1,3,"May 21, 2020 - 20:00 CEST",Europe,3,0,True,False,5.0
Servette Geneva Esports,Womped,5.0,4.0,False,0:00,"['Mirror.', 'Zaphare']","['Rise', 'cal']",2,2,"May 21, 2020 - 20:00 CEST",Europe,3,0,True,False,9.0
Servette Geneva Esports,Womped,6.0,4.0,False,0:00,['Justuszzz'],['Rise'],3,1,"May 21, 2020 - 20:00 CEST",Europe,3,0,True,False,10.0
Mousesports,Triple Trouble,1.0,2.0,True,0:23,"['Arju', 'Kuxir', 'Lethamyr']","['Bluey', 'Kash', 'Tadpole']",1,3,"May 21, 2020 - 21:00 CEST",Europe,2,3,False,True,3.0
Mousesports,Triple Trouble,3.0,4.0,False,0:00,"['Arju', 'Lethamyr']","['Bluey', 'Kash']",2,2,"May 21, 2020 - 21:00 CEST",Europe,2,3,False,True,7.0
Mousesports,Triple Trouble,8.0,5.0,False,0:00,['Speed'],['Kash'],3,1,"May 21, 2020 - 21:00 CEST",Europe,2,3,True,False,13.0
Mousesports,Triple Trouble,8.0,4.0,False,0:00,['Speed'],['Bluey'],4,1,"May 21, 2020 - 21:00 CEST",Europe,2,3,True,False,12.0
Mousesports,Triple Trouble,0.0,4.0,False,0:00,"['Arju', 'Kuxir', 'Lethamyr']","['Bluey', 'Kash', 'Tadpole']",5,3,"May 21, 2020 - 21:00 CEST",Europe,2,3,False,True,4.0
Totalschaden,Flying Nunchucks,2.0,1.0,False,0:00,"['Alex161', 'Doomayn', 'Gnagflow06']","['Al Dente', 'Maadzz', 'Reganam']",1,3,"May 21, 2020 - 21:00 CEST",Europe,2,3,True,False,3.0
Totalschaden,Flying Nunchucks,0.0,1.0,False,0:00,"['Alex161', 'Revezy']","['Al Dente', 'Reganam']",2,2,"May 21, 2020 - 21:00 CEST",Europe,2,3,False,True,1.0
Totalschaden,Flying Nunchucks,7.0,6.0,False,0:00,['Revezy'],['Al Dente'],3,1,"May 21, 2020 - 21:00 CEST",Europe,2,3,True,False,13.0
Totalschaden,Flying Nunchucks,4.0,5.0,False,0:00,"['Alex161', 'Revezy']","['Al Dente', 'Reganam']",4,2,"May 21, 2020 - 21:00 CEST",Europe,2,3,False,True,9.0
Totalschaden,Flying Nunchucks,1.0,2.0,False,0:00,"['Alex161', 'Doomayn', 'Gnagflow06']","['Al Dente', 'Maadzz', 'Reganam']",5,3,"May 21, 2020 - 21:00 CEST",Europe,2,3,False,True,3.0
Momentum Shifters,Randoms,2.0,1.0,False,0:00,"['Ali', 'Brownie', 'Impressive']","['AcroniK', 'Flakes', 'Lauty']",1,3,"May 21, 2020 - 22:00 CEST",Europe,3,1,True,False,3.0
Momentum Shifters,Randoms,4.0,2.0,False,0:00,"['Ali', 'Yahya']","['AcroniK', 'Flakes']",2,2,"May 21, 2020 - 22:00 CEST",Europe,3,1,True,False,6.0
Momentum Shifters,Randoms,4.0,6.0,False,0:00,['Ali'],['Flakes'],3,1,"May 21, 2020 - 22:00 CEST",Europe,3,1,False,True,10.0
Momentum Shifters,Randoms,2.0,1.0,False,0:00,"['Ali', 'Brownie', 'Impressive']","['AcroniK', 'Flakes', 'Lauty']",4,3,"May 21, 2020 - 22:00 CEST",Europe,3,1,True,False,3.0
Celestial,Team Shaky,6.0,1.0,False,0:00,"['Mikeboy', 'Rizex45', 'RizuaL']","['Cynical', 'Hakeem', 'Oaly']",1,3,"May 21, 2020 - 22:00 CEST",Europe,3,2,True,False,7.0
Celestial,Team Shaky,4.0,2.0,False,0:00,"['Mikeboy', 'RizuaL']","['Hakeem', 'Oaly']",2,2,"May 21, 2020 - 22:00 CEST",Europe,3,2,True,False,6.0
Celestial,Team Shaky,5.0,6.0,False,0:00,['RizuaL'],['Oaly'],3,1,"May 21, 2020 - 22:00 CEST",Europe,3,2,False,True,11.0
Celestial,Team Shaky,5.0,7.0,False,0:00,['Rizex45'],['Oaly'],4,1,"May 21, 2020 - 22:00 CEST",Europe,3,2,False,True,12.0
Celestial,Team Shaky,3.0,2.0,False,0:00,"['Mikeboy', 'Rizex45', 'RizuaL']","['Cynical', 'Hakeem', 'Oaly']",5,3,"May 21, 2020 - 22:00 CEST",Europe,3,2,True,False,5.0
Aeriality,John MacDonald's Happy Meal,1.0,3.0,False,0:00,"['BoyScHool Q', 'Sebadam', 'Tylacto']","['Breezi', 'hibbs', 'rehzzy']",1,3,"May 21, 2020 - 23:00 CEST",Europe,0,3,False,True,4.0
Aeriality,John MacDonald's Happy Meal,2.0,3.0,False,0:00,"['BoyScHool Q', 'Tylacto']","['Breezi', 'hibbs']",2,2,"May 21, 2020 - 23:00 CEST",Europe,0,3,False,True,5.0
Aeriality,John MacDonald's Happy Meal,2.0,6.0,False,0:00,['Tylacto'],['Breezi'],3,1,"May 21, 2020 - 23:00 CEST",Europe,0,3,False,True,8.0
Sauce,Story bud,2.0,6.0,False,0:00,"['Mognus', 'Tigreee', 'al0t']","['Gr0wlii', 'jxmes', 'robkiernxn']",1,3,"May 21, 2020 - 23:00 CEST",Europe,3,1,False,True,8.0
Sauce,Story bud,5.0,1.0,False,0:00,"['Mognus', 'Tigreee']","['Mugg', 'robkiernxn']",2,2,"May 21, 2020 - 23:00 CEST",Europe,3,1,True,False,6.0
Sauce,Story bud,7.0,6.0,True,0:07,['OSM'],['robkiernxn'],3,1,"May 21, 2020 - 23:00 CEST",Europe,3,1,True,False,13.0
Sauce,Story bud,2.0,1.0,False,0:00,"['Mognus', 'Tigreee', 'al0t']","['Gr0wlii', 'jxmes', 'robkiernxn']",4,3,"May 21, 2020 - 23:00 CEST",Europe,3,1,True,False,3.0
Team Singularity,Almans,3.0,2.0,False,0:00,"['Scrub Killa', 'ThO', 'noly']","['FreaKii', 'Godsmilla', 'Striker']",1,3,"May 22, 2020 - 18:00 CEST",Europe,3,2,True,False,5.0
